tailid;parentid;orgstructid;name_nb;name_nn;name_en;orgid;kommunenummer
23161;;81;"Norges Røde Kors";"Norges Røde Kors";"Norwegian Red Cross";864139442;
23163;;81;"Norsk Luftambulanse";"Norsk Luftambulanse";"Norsk Luftambulanse";930329797;
23168;25871;73;"Luster folkebibliotek";"Luster folkebibliotek";"Luster Public Library";;
23071;25197;73;"Vågsøy folkebibliotek";"Vågsøy folkebibliotek";"Vågsøy Public Library";;
23080;26071;73;"Gaular folkebibliotek";"Gaular folkebibliotek";"Gaular Public Library";;
23030;25578;73;"Sarpsborg bibliotek";"Sarpsborg bibliotek";"Sarpsborg Public Library";;
23046;26198;73;"Fjaler folkebibliotek";"Fjaler folkebibliotek";"Fjaler Public Library";;
22868;25572;73;"Sande bibliotek (Vestfold)";"Sande bibliotek (Vestfold)";"Sande Public Library (Vestfold)";;
22871;25356;73;"Svelvik folkebibliotek";"Svelvik folkebibliotek";"Svelvik Public Library";;
22233;24996;37;"Mattilsynet - Distriktskontoret for Nord-Østerdal";"Mattilsynet - Distriktskontoret for Nord-Østerdal";"Norwegian Food Safety Authority - District Office for Nord-Østerdal";;
22234;24996;37;"Mattilsynet - Distriktskontoret for Øst-Hedmark, kontorsted Kongsvinger";"Mattilsynet - Distriktskontoret for Øst-Hedmark, kontorsted Kongsvinger";"Norwegian Food Safety Authority - District Office for Øst-Hedmark, Kongsvinger";;
22235;24996;37;"Mattilsynet - Distriktskontoret for Hedmarken";"Mattilsynet - Distriktskontoret for Hedmarken";"Norwegian Food Safety Authority - District Office for Hedmarken";;
22236;24996;37;"Mattilsynet - Distriktskontoret for Øst-Hedmark, kontorsted Elverum";"Mattilsynet - Distriktskontoret for Øst-Hedmark, kontorsted Elverum";"Norwegian Food Safety Authority - District Office for Øst-Hedmark,  Elverum";;
28477;31202;39;"Kriminalomsorgen Hordaland friomsorgskontor";"Kriminalomsorgen Hordaland friomsorgskontor";"Hordaland Probation and Aftercare Service";;
28478;35821;39;"Konfliktrådet i Hordaland";"Konfliktrådet i Hordaland";"Hordaland Mediation and Reconciliation Service";;
21519;26260;39;"Fauske lensmannskontor";"Fauske lensmannskontor";"Fauske Police Station (lensmann) ";;
37851;26095;37;"NAV Arendal ";"NAV Arendal ";"NAV Arendal";;
21881;;81;"Norsk Pasientforening";"Norsk Pasientforening";"Norsk Pasientforening";871492832;
21882;25193;39;"Manglerud politistasjon";"Manglerud politistasjon";"Manglerud Police Station ";;
21885;25193;39;"Stovner politistasjon";"Stovner politistasjon";"Stovner Police Station ";;
21886;25193;39;"Sentrum politistasjon (Oslo)";"Sentrum politistasjon (Oslo)";"Oslo Police Station ";;
21887;25193;39;"Majorstua politistasjon";"Majorstua politistasjon";"Majorstua Police Station ";;
21888;25193;39;"Grønland politistasjon (passkontor Oslo)";"Grønland politistasjon (passkontor Oslo)";"Grønland Police Station ";;
21889;26157;39;"Halden politistasjon";"Halden politistasjon";"Halden Police Station ";;
34842;27125;33;"Barne-, ungdoms- og familiedirektoratet";"Barne-, ungdoms- og familiedirektoratet";"Norwegian Directorate for Children, Youth and Family Affairs";986128433;
35581;26065;36;"NAV Arbeidsrådgivning Møre- og Romsdal";"NAV Arbeidsrådgivning Møre- og Romsdal";"NAV Career Advice Office (Møre- og Romsdal)";;
34843;34842;36;"Barne-, ungdoms- og familieetaten, region nord";"Barne-, ungdoms- og familieetaten, region nord";"Regional Office for Children, Youth and Family Affairs, Northern Norway ";;
21774;26301;39;"Asker politistasjon";"Asker politistasjon";"Asker Police Station ";;
21777;32821;39;"Politihuset i Drammen";"Politihuset i Drammen";"Drammen Police Station ";;
21780;32821;39;"Nedre Eiker lensmannskontor";"Nedre Eiker lensmannskontor";"Nedre Eiker Police Station";;
21781;32821;39;"Røyken og Hurum lensmannskontor";"Røyken og Hurum lensmannskontor";"Røyken og Hurum Police Station";;
21782;25235;39;"Politihuset Gjøvik";"Politihuset Gjøvik";"Gjøvik Police Station ";;
29190;26582;39;"Bredtvet kompetansesenter";"Bredtvet kompetansesenter";"Bredtvet Special Needs Resource Centre";971285982;
29192;26608;39;"Hedmark og Oppland statsadvokatembeter";"Hedmark og Oppland statsadvokatembeter";"Hedmark and Oppland Public Prosecutor's Office";;
29194;32221;90;"Eikholt nasjonalt ressurssenter for døvblinde";"Eikholt nasjonalt ressurssenter for døvblinde";"Eikhold National Resource Centre for the Deafblind";971461098;
29196;26582;39;"Lillegården kompetansesenter";"Lillegården kompetansesenter";"Lillegården Special Needs Resource Centre";970438831;
