OldMunicipality,NewMunicipality,Coords
Sandøy,Sandøy,"(65587, 6990093)"
Sannidal,Kragerø,"(177909, 6538808)"
Sarpsborg,Sarpsborg,"(278513, 6577862)"
Sauda,Sauda,"(13534, 6644277)"
Sauherad,Sauherad,"(173671, 6598300)"
Sel,Sel,"(211829, 6860993)"
Selbu,Selbu,"(300975, 7015989)"
Selje,Selje,"(-3638, 6916688)"
Seljord,Seljord,"(139340, 6611112)"
Sem,Tønsberg,"(238476, 6579279)"
Setskog,Aurskog-Høland,"(307783, 6643375)"
Sigdal,Sigdal,"(201496, 6668648)"
Singsås,Holtålen,"(311257, 6973573)"
Sjernarøy,Finnøy,"(-20659, 6594836)"
Skatval,Stjørdal,"(296660, 7044273)"
Skedsmo,Skedsmo,"(278878, 6652959)"
Skien,Skien,"(192396, 6575530)"
Skiptvet,Skiptvet,"(282626, 6599425)"
Skjeberg,Sarpsborg,"(278513, 6577862)"
Skjerstad,Bodø,"(473416, 7463089)"
Skjervøy,Skjervøy,"(727337, 7780791)"
Skjold,Vindafjord,"(-17706, 6643404)"
Skjåk,Skjåk,"(146348, 6879561)"
Skodje,Skodje,"(73224, 6957717)"
Skoger,Drammen,"(230713, 6632723)"
Skogn,Levanger,"(317450, 7073995)"
Skudenes,Karmøy,"(-51177, 6611558)"
Skudeneshavn,Karmøy,"(-51177, 6611558)"
Skånevik,Etne,"(-9745, 6648991)"
Skåre,Haugesund,"(-50742, 6626242)"
Skåtøy,Kragerø,"(177909, 6538808)"
Slemdal,Oslo,"(261502, 6649292)"
Snertingdal,Gjøvik,"(265643, 6747621)"
Snåsa,Snåsa - Snåasen tjielte,"(373154, 7127045)"
Sogndal,Sogndal,"(76722, 6814195)"
Sokndal,Sokndal,"(-8774, 6499870)"
Soknedal,Midtre Gauldal,"(261752, 6998681)"
Sollia,Stor-Elvdal,"(290176, 6832868)"
Solum,Porsgrunn,"(194424, 6568079)"
Solund,Solund,"(-46723, 6813643)"
Son,Vestby,"(260108, 6614803)"
Sortland,Sortland,"(516700, 7620540)"
Spangereid,Lindesnes,"(46621, 6464013)"
Sparbu,Steinkjer,"(328773, 7103152)"
Spind,Farsund,"(17507, 6468713)"
Spydeberg,Spydeberg,"(279006, 6615647)"
Stadsbygd,Agdenes,"(242691, 7052350)"
Stamnes,Vaksdal,"(-1620, 6752263)"
Stange,Stange,"(292222, 6737160)"
Stangvik,Surnadal,"(182280, 6998344)"
Stathelle,Bamble,"(198357, 6552083)"
Stavanger,Stavanger,"(-32014, 6573603)"
Steigen,Steigen,"(500697, 7517909)"
Steinkjer,Steinkjer,"(328773, 7103152)"
Stjørdal,Stjørdal,"(296660, 7044273)"
Stjørna,Rissa,"(249948, 7060394)"
Stod,Steinkjer,"(328773, 7103152)"
Stokke,Stokke,"(231885, 6574220)"
Stoksund,Åfjord,"(266239, 7101354)"
Stor-Elvdal,Stor-Elvdal,"(290176, 6832868)"
Stord,Stord,"(-32184, 6665270)"
Stordal,Stordal,"(86338, 6942467)"
Strand,Strand,"(-13273, 6577175)"
Stranda,Stranda,"(83194, 6934490)"
Strandebarm,Jondal,"(17125, 6714275)"
Strandvik,Fusa,"(-11195, 6714026)"
Straumsnes,Tingvoll,"(155356, 6994027)"
Strinda,Trondheim,"(270282, 7041668)"
Stryn,Stryn,"(65740, 6891168)"
Strømm,Svelvik,"(240686, 6616616)"
Støren,Midtre Gauldal,"(261752, 6998681)"
Suldal,Suldal,"(5455, 6626756)"
Sund,Sund,"(-47807, 6722869)"
Sunndal,Sunndal,"(170674, 6965797)"
Sunnylven,Stranda,"(83194, 6934490)"
Surnadal,Surnadal,"(182280, 6998344)"
Sveio,Sveio,"(-44172, 6640148)"
Svelvik,Svelvik,"(240686, 6616616)"
Sykkylven,Sykkylven,"(65433, 6945958)"
Sylte,Vestnes,"(94933, 6968268)"
Søgne,Søgne,"(76932, 6462033)"
Søndeled,Risør,"(165023, 6523189)"
Søndre Land,Søndre Land,"(246309, 6738268)"
Sør-Audnedal,Audnedal,"(52281, 6485772)"
Sør-Aurdal,Sør-Aurdal,"(203743, 6755323)"
Sør-Fron,Sør-Fron,"(231286, 6835222)"
Sør-Frøya,Frøya,"(195378, 7081671)"
Sør-Odal,Sør-Odal,"(316459, 6684254)"
Sør-Varanger,Sør-Varanger,"(1076529, 7807110)"
Sør-Vågsøy,Vågsøy,"(-17456, 6906524)"
Sørfjord,Tromsø,"(653403, 7731972)"
Sørfold,Sørfold,"(525543, 7470311)"
Sørreisa,Sørreisa,"(625335, 7673982)"
Sørum,Sørum,"(290281, 6655935)"
Talvik,Alta,"(816163, 7784821)"
Tana,Tana - Deanu gielda,"(995112, 7842002)"
Tiller,Trondheim,"(270282, 7041668)"
Time,Time,"(-40002, 6548470)"
Tingvoll,Tingvoll,"(155356, 6994027)"
Tinn,Tinn,"(141730, 6655243)"
Tjeldsund,Tjeldsund,"(555557, 7605422)"
Tjølling,Larvik,"(214894, 6556496)"
Tjøme,Tjøme,"(236315, 6561508)"
Tjøtta,Alstahaug,"(391273, 7324149)"
Tolga,Tolga,"(293292, 6926246)"
Tonstad,Sirdal,"(20214, 6532464)"
Torsken,Torsken,"(580776, 7696070)"
Torsnes,Fredrikstad,"(268259, 6570534)"
Torvastad,Karmøy,"(-51177, 6611558)"
Tovdal,Åmli,"(123544, 6532393)"
Tranøy,Tranøy,"(608453, 7675833)"
Tromsø,Tromsø,"(653403, 7731972)"
Tromsøysund,Tromsø,"(653403, 7731972)"
Tromøy,Arendal,"(136520, 6496840)"
Trondenes,Harstad,"(562119, 7632709)"
Trondheim,Trondheim,"(270282, 7041668)"
Trysil,Trysil,"(353532, 6800997)"
Træna,Træna,"(370849, 7378823)"
Trøgstad,Trøgstad,"(292324, 6617244)"
Tune,Sarpsborg,"(278513, 6577862)"
Tustna,Aure,"(175771, 7031831)"
Tvedestrand,Tvedestrand,"(147583, 6514381)"
Tveit,Kristiansand,"(88166, 6466404)"
Tydal,Tydal,"(330649, 6994990)"
Tynset,Tynset,"(280892, 6911847)"
Tysfjord,Narvik,"(599528, 7593776)"
Tysnes,Tysnes,"(-28564, 6690142)"
Tysvær,Tysvær,"(-40826, 6625960)"
Tønsberg,Tønsberg,"(238476, 6579279)"
Ullensaker,Ullensaker,"(287625, 6673606)"
Ullensvang,Odda,"(30240, 6688986)"
Ulstein,Ulstein,"(27051, 6946092)"
Ulvik,Ulvik herad,"(57568, 6741917)"
Uvdal,Nore og Uvdal,"(165411, 6696520)"
Vadsø,Vadsø,"(1056260, 7841826)"
Valestrand,Sveio,"(-44172, 6640148)"
Valle,Valle,"(74253, 6587578)"
Valsøyfjord,Halsa,"(163040, 7016385)"
Vang,Vang,"(154166, 6793807)"
Vanse,Farsund,"(17507, 6468713)"
Vanylven,Vanylven,"(8267, 6921252)"
Varaldsøy,Kvinnherad,"(-524, 6683734)"
Vardal,Gjøvik,"(265643, 6747621)"
Vardø,Vardø,"(1097732, 7886965)"
Varhaug,Hå,"(-42323, 6535232)"
Vartdal,Ørsta,"(39544, 6928006)"
Varteig,Sarpsborg,"(278513, 6577862)"
Vatne,Haram,"(61668, 6970043)"
Vats,Vindafjord,"(-17706, 6643404)"
Vefsn,Vefsn,"(417816, 7303376)"
Vega,Vega,"(360470, 7287076)"
Vegusdal,Birkenes,"(104164, 6485926)"
Vegårshei,Vegårshei,"(145274, 6528574)"
Velfjord,Brønnøy,"(370576, 7263461)"
Vemundvik,Namsos,"(331585, 7153591)"
Vennesla,Vennesla,"(88186, 6480151)"
Verdal,Verdal,"(326683, 7078797)"
Verran,Verran,"(315915, 7110925)"
Vestby,Vestby,"(260108, 6614803)"
Vestnes,Vestnes,"(94933, 6968268)"
Vestre Gausdal,Gausdal,"(243546, 6797435)"
Vestre Moland,Lillesand,"(111733, 6475634)"
Vestre Slidre,Vestre Slidre,"(175734, 6787564)"
Vestre Toten,Vestre Toten,"(260514, 6740268)"
Vevring,Naustdal,"(7192, 6854837)"
Veøy,Rauma,"(124670, 6958788)"
Vik,Vik,"(46726, 6801905)"
